common,ds,kim.fl2tl,kim.tl2sl,fx3.fl2tl,fx3.tl2sl,kim.sl,kim.fl,dp.lengthtype.unknown,dp.sl,dp.fl,dp.tl,sch.fl,
American Shad,T,T,T,T,T,T,T,,,T,,,"rules = average all b, "
Asian Clam,T,,,,,,,,,,,,
Bay Pipefish,T,,,,,,,,,,T,,
Bigscale Logperch,T,,,,,,,,,,,,
Black Bullhead,T,,,,,,,,T,,T,,
Black Crappie,T,,,,,,,,,,T,T,
Black Sea Jellyfish,T,,,,,,,,,,,,
Bluegill,T,,,,,,,,T,T,T,T,
Brown Bullhead,T,,,,,,,,,T,T,,
California Bay Shrimp,T,,,,,,,,,,,,
California Halibut,T,,,,,,,,,,,,
Catfish Unknown,T,,,,,,,,,,,,
Channel Catfish,T,,,,,,,,T,,T,T,
Chinese Mitten Crab,T,,,,,,,,,,,,
Chinook Salmon,T,T,T,T,T,,T,,,T,,T,
Common Carp,T,T,T,T,T,T,,T,T,T,T,T,
Delta Smelt,T,T,T,T,T,T,T,,,,,,
Exopalaemon,T,,,,,,,,,,,,
Fathead Minnow,T,,,,,,,,,,T,,
Flatfish,T,,,,,,,,,,,,
Goby Unknown,T,,,,,,,,,,,,
Golden Shiner,T,,,T,T,,,T,T,,,T,
Goldfish,T,,,T,T,,,,,,,,
Green Sturgeon,T,,,,,,,,,,,,
Green Sunfish,T,,,,,,,,T,,T,T,
Hardhead,T,,,T,T,,,T,T,,T,,
Hariss Mud Crab,T,,,,,,,,,,,,
Heel Splitter,T,,,,,,,,,,,,
Herring Unknown,T,,,,,,,,,,,,
Hitch,T,,,T,T,,,,,,,,
Inland Silverside,T,,,,,,T,,,,,,
Korean Grass Shrimp,T,,,,,,,,,,,,
Largemouth Bass,T,,,T,T,,,,T,T,T,T,
Longfin Smelt,T,,,,,T,,,,,,,
Longjaw Mudsucker,T,,,,,,,,,,,,
Macoma,T,,,,,,,,,,,,
NoCatch,T,,,,,,,,,,,,
Northern Anchovy,T,,,,,T,T,,T,,T,,
Opossum Shrimp,T,,,,,,,,,,,,
Overbite clam,T,,,,,,,,,,,,
Pacific Herring,T,,,,,T,T,T,,T,,,
Pacific Lamprey,T,,,T,T,,,,,,,,
Pacific Sanddab,T,,,,,,,,,,,,
Pacific Staghorn Sculpin,T,,,,,,,,T,,,,
Plainfin Midshipman,T,,,,,,,,,,T,,
Prickly Sculpin,T,,,,,T,T,,,T,,,
Rainbow / Steelhead Trout,T,,,,,,,,,,,,
Rainwater Killifish,T,,,,,,T,,,,,,
Redear Sunfish,T,,,,,,,,T,,T,T,
River Lamprey,T,,,T,T,,,,,,T,,
Sacramento Blackfish,T,,,,,,,,,,,,
Sacramento Pikeminnow,T,,,T,T,,,,,,T,,
Sacramento Sucker,T,T,T,T,T,T,,,,T,,,
Sculpin Unknown,T,,,,,,,,,,,,
Shimofuri Goby,T,,,,,,T,,,T,,,
Shiner Surfperch,T,,,,,,,,,,,,
Shokihaze Goby,T,,,,,,,,,,,,
Speckled Sanddab,T,,,,,,,,,,,,
Splittail,T,T,T,T,T,,T,,,T,,,
Spotted Bass,T,,,,,,,,T,,T,,
Starry Flounder,T,,,,,T,,,,,T,,
Striped Bass,T,T,T,T,T,T,T,,,,T,,
Striped Mullet,T,,,,,,,,,,,,
Sunfish Unknown,T,,,,,,,,,,,,
Surf Smelt,T,,,,,,,,,,,,
Threadfin Shad,T,,,,,T,T,,T,,T,,
Threespine Stickleback,T,T,T,,,,T,,,,T,,
Tule Perch,T,T,T,,,T,T,,,T,,,
Unknown,T,,,,,,,,,,,,
Unknown Larval Fish,T,,,,,,,,,,,,
Wakasagi,T,,,,,,,,,,,,
Warmouth,T,,,,,,,,T,,T,T,
Water quality only,T,,,,,,,,,,,,
Western Mosquitofish,T,,,,,,T,,,,,,
White Catfish,T,,,,,,,,,T,T,,
White Crappie,T,,,,,,,,T,,T,T,
White Croaker,T,,,,,,,,T,,,,
White Sturgeon,T,,,,,,,,,T,,,
Yellowfin Goby,T,,,,,T,T,,,,T,,
red swamp crayfish,T,,,,,,,,,,,,
